name,similarity@128
rihanna,0.9227371
kanye,0.9211629
beyoncé,0.9057127
oprah,0.9046353
madonna,0.9014818
meera,0.88312393
adele,0.87280095
himesh,0.8662875
amita,0.85823554
hailee,0.85595506
keanu,0.8546753
lilly,0.8535862
yuvraj,0.8535409
norah,0.8519675
anupam,0.8495946
celina,0.8474416
cher,0.8403119
britney,0.8401251
heung,0.8387289
elon,0.83553827
parminder,0.8344616
sanjeev,0.8301782
sarah,0.8292467
jennifer,0.82904077
neymar,0.8262048
harrison,0.8243671
naga,0.82333964
cristiano,0.8214518
tatyana,0.8195929
kylie,0.81933653
drake,0.81851834
yayan,0.81436324
sung,0.8131298
anne,0.8130706
mariah,0.8127453
jaycee,0.81199235
devon,0.81162006
sandra,0.8114465
elton,0.8095464
lady,0.80928946
julia,0.8087107
tina,0.8081084
billy,0.8062782
angelina,0.80621815
nadia,0.8059066
celine,0.80538857
brandon,0.80382687
lebron,0.80266786
mindy,0.80228245
amol,0.8016052
katy,0.8013374
kunal,0.80105615
taylor,0.80055463
kelly,0.8001291
ben,0.799375
mel,0.7992007
rae,0.79817843
geraldine,0.796829
george,0.7940337
ellen,0.79396266
davood,0.79133147
justin,0.7890001
shaquille,0.78871447
kim,0.7860777
iko,0.78592724
lou,0.7856393
nina,0.7843828
ernie,0.78298783
tyler,0.7767144
dalip,0.7766456
simon,0.77458787
konnie,0.7735284
bd,0.77093613
will,0.76870644
pat,0.7679342
dev,0.75867414
rush,0.7574043
bolo,0.756018
brian,0.7548077
dwayne,0.75392973
james,0.7538943
archie,0.7535594
kevin,0.75209725
brad,0.7519198
rick,0.7515378
steven,0.7462739
donnie,0.746267
kobe,0.7448291
dave,0.7426108
michael,0.73566115
robert,0.7345936
johnny,0.7301575
tony,0.72715205
david,0.72454864
paul,0.7242854
jerry,0.7193291
ed,0.71677446
leonardo,0.7122447
tom,0.7121571
judge,0.7117038
howard,0.7086253
dennis,0.7008914
lionel,0.70071167
robin,0.7004619
dante,0.69684917
bruce,0.6966102
roger,0.68329424
