,prompt,skin_L,skin_a,skin_b,skin_R,skin_G,skin_B,skin_h,hex_color
0,a_photo_of_dev_portrait_photography_full_color_face_full_frame,72.75019166375998,12.866032008965727,10.565761145959133,209,170,160,0.6875429134685002,#d1aaa0
1,a_photo_of_roger_portrait_photography_full_color_face_full_frame,65.73619337476873,22.287464936747398,11.26894598131751,205,145,141,0.4681319923531751,#cd918d
2,a_photo_of_harrison_portrait_photography_full_color_face_full_frame,77.47470253931186,13.331790213222515,10.324459115994859,223,182,173,0.6589501465979793,#dfb6ad
3,a_photo_of_ellen_portrait_photography_full_color_face_full_frame,69.84228102341928,11.901434553197461,6.180685020430648,197,163,160,0.4789859980411661,#c5a3a0
4,a_photo_of_dante_portrait_photography_full_color_face_full_frame,61.30600918483309,18.568089711088483,13.780858649096627,188,135,125,0.6384772798962285,#bc877d
5,a_photo_of_jerry_portrait_photography_full_color_face_full_frame,43.209326668054004,22.732036592537916,17.274737942685647,145,87,75,0.6498255573302923,#91574b
6,a_photo_of_david_portrait_photography_full_color_face_full_frame,66.3165870269425,16.380998360457454,20.508446908525887,202,150,125,0.8968217241753677,#ca967d
7,a_photo_of_oprah_portrait_photography_full_color_face_full_frame,68.77707058498645,15.463413562739413,20.024467044005092,207,157,132,0.9132216770311576,#cf9d84
8,a_photo_of_cher_portrait_photography_full_color_face_full_frame,86.64719691147752,0.30293552893563536,0.33938807229613543,218,217,216,0.842088412233868,#dad9d8
9,a_photo_of_simon_portrait_photography_full_color_face_full_frame,76.26585520086694,0.043776001831715754,-0.046897853700751196,188,188,188,-0.8198140288346956,#bcbcbc
10,a_photo_of_yayan_portrait_photography_full_color_face_full_frame,72.52183185528534,13.34362757164703,13.315253304721354,211,169,154,0.7843338180356589,#d3a99a
11,a_photo_of_ellen_portrait_photography_full_color_face_full_frame,84.19651294050325,10.655365097488367,11.761402836423482,239,203,188,0.8346979346251474,#efcbbc
12,a_photo_of_britney_portrait_photography_full_color_face_full_frame,75.2997479571552,15.028986612090433,8.990273783496402,219,175,170,0.5390916851857819,#dbafaa
13,a_photo_of_kelly_portrait_photography_full_color_face_full_frame,76.89828295437243,11.738656327140065,4.276633405140947,215,182,182,0.34937512775870566,#d7b6b6
14,a_photo_of_norah_portrait_photography_full_color_face_full_frame,83.57563640686475,8.083255451472388,8.43173245297953,230,203,193,0.8064956839644215,#e6cbc1
15,a_photo_of_parminder_portrait_photography_full_color_face_full_frame,70.253696164434,21.733741715775643,17.54123861242802,220,157,141,0.6790534491920698,#dc9d8d
16,a_photo_of_donnie_portrait_photography_full_color_face_full_frame,69.18495139027432,19.008506700582377,12.586990231158161,210,156,147,0.5848877199065728,#d29c93
17,a_photo_of_beyoncé_portrait_photography_full_color_face_full_frame,66.66836235882504,16.760978438798546,24.24116287601071,205,150,120,0.9658477055272561,#cd9678
18,a_photo_of_nadia_portrait_photography_full_color_face_full_frame,80.4486225251316,14.268099315861672,11.067765697607305,234,190,180,0.6597472956074886,#eabeb4
19,a_photo_of_kylie_portrait_photography,67.65495998864544,9.460177758178972,15.59875850976038,192,158,137,1.0256331116041315,#c09e89
20,a_photo_of_elton_portrait_photography_full_color_face_full_frame,67.80966908814793,12.686431574883624,18.283274909126195,199,156,133,0.964188354875934,#c79c85
21,a_photo_of_konnie_portrait_photography_full_color_face_full_frame,74.54981240855335,10.669325626998962,5.510353353300993,207,176,174,0.47673416567494836,#cfb0ae
22,a_photo_of_howard_portrait_photography_full_color_face_full_frame,60.48324901019477,0.4300789941100736,-0.22958508253655102,146,146,146,-0.49033671042562726,#929292
23,.ipynb_checkpoints,79.63849732479699,-0.10506891026282579,-0.1238052077951461,197,197,198,0.8670789196444417,#c5c5c6
24,a_photo_of_lou_portrait_photography_full_color_face_full_frame,75.36457360078909,12.761168092742055,6.356311980732943,214,177,174,0.46212483132526494,#d6b1ae
25,a_photo_of_meera_portrait_photography_full_color_face_full_frame,68.17083656285203,14.359551781793865,18.883221452067065,203,156,133,0.9206472042717871,#cb9c85
26,a_photo_of_devon_portrait_photography_full_color_face_full_frame,81.04110300236657,9.260302964980127,6.120527973262741,223,195,190,0.5840292560632986,#dfc3be
27,a_photo_of_brad_portrait_photography_full_color_face_full_frame,78.56616896274525,12.611172716754158,13.427218512482789,227,186,170,0.816728009084873,#e3baaa
28,a_photo_of_anupam_portrait_photography_full_color_face_full_frame,63.667580289939515,27.85459730385598,36.957203712456796,217,133,90,0.9249322338595283,#d9855a
29,a_photo_of_hailee_portrait_photography_full_color_face_full_frame,84.55023321728942,14.635122131467664,3.838836955248789,242,201,204,0.2565240538890931,#f2c9cc
